title,category,food_cost,ingredients,price,description,image_url,is_available,created_at,updated_at
Truffle Parmesan Fries,appetizer,0.0,"[{""category"": ""Nguyên liệu chính"", ""items"": [{""name"": ""Khoai tây sợi"", ""quantity"": 250, ""unit"": ""g"", ""notes"": ""Chiên giòn""}]}, {""category"": ""Gia vị tạo hương"", ""items"": [{""name"": ""Dầu nấm Truffle"", ""quantity"": 10, ""unit"": ""ml"", ""notes"": ""Trộn đều khi khoai còn nóng""}, {""name"": ""Phô mai Parmesan"", ""quantity"": 20, ""unit"": ""g"", ""notes"": ""Bào nhuyễn rắc lên trên""}, {""name"": ""Ngò tây (Parsley)"", ""quantity"": 5, ""unit"": ""g"", ""notes"": ""Băm nhuyễn""}, {""name"": ""Muối biển"", ""quantity"": 3, ""unit"": ""g"", ""notes"": ""Tùy khẩu vị""}]}]",89000,Khoai tây chiên sốt Truffle Parmesan,,True,2026-08-22T15:26:23.074817+07:00,2026-08-22T15:26:23.074817+07:00
Crispy Chicken Karaage,appetizer,0.0,"[{""category"": ""Thịt"", ""items"": [{""name"": ""Má đùi gà rút xương"", ""quantity"": 200, ""unit"": ""g"", ""notes"": ""Cắt miếng vừa ăn""}]}, {""category"": ""Gia vị ướp"", ""items"": [{""name"": ""Nước tương Nhật (Shoyu)"", ""quantity"": 15, ""unit"": ""ml"", ""notes"": """"}, {""name"": ""Sake nấu ăn"", ""quantity"": 10, ""unit"": ""ml"", ""notes"": """"}, {""name"": ""Gừng băm"", ""quantity"": 5, ""unit"": ""g"", ""notes"": """"}, {""name"": ""Tỏi băm"", ""quantity"": 5, ""unit"": ""g"", ""notes"": """"}]}, {""category"": ""Phủ ngoài & Ăn kèm"", ""items"": [{""name"": ""Bột khoai tây (Katakuriko)"", ""quantity"": 50, ""unit"": ""g"", ""notes"": ""Áo đều miếng gà""}, {""name"": ""Chanh vàng"", ""quantity"": 1, ""unit"": ""miếng"", ""notes"": ""Vắt lấy nước khi ăn""}, {""name"": ""Sốt Mayonnaise"", ""quantity"": 30, ""unit"": ""g"", ""notes"": ""Chấm kèm""}]}]",99000,Gà chiên giòn kiểu Nhật,,True,2026-08-22T15:26:23.074817+07:00,2026-08-22T15:26:23.074817+07:00
Beef Carpaccio,appetizer,0.0,"[{""category"": ""Thịt"", ""items"": [{""name"": ""Thăn nội bò (Tenderloin)"", ""quantity"": 120, ""unit"": ""g"", ""notes"": ""Thái lát cực mỏng, ướp lạnh""}]}, {""category"": ""Gia vị & Sốt"", ""items"": [{""name"": ""Sốt chanh dây"", ""quantity"": 30, ""unit"": ""ml"", ""notes"": ""Rưới đều lên thịt""}, {""name"": ""Dầu oliu Extra Virgin"", ""quantity"": 10, ""unit"": ""ml"", ""notes"": """"}, {""name"": ""Nụ bạch hoa (Capers)"", ""quantity"": 10, ""unit"": ""g"", ""notes"": """"}]}, {""category"": ""Trang trí"", ""items"": [{""name"": ""Phô mai Parmesan"", ""quantity"": 15, ""unit"": ""g"", ""notes"": ""Bào lát mỏng""}, {""name"": ""Rau Arugula (Rocket)"", ""quantity"": 20, ""unit"": ""g"", ""notes"": ""Đặt ở giữa""}]}]",129000,Bò tái lát mỏng sốt chanh dây,,True,2026-08-22T15:26:23.074817+07:00,2026-08-22T15:26:23.074817+07:00
Burrata Salad,appetizer,0.0,"[{""category"": ""Nguyên liệu chính"", ""items"": [{""name"": ""Phô mai Burrata tươi"", ""quantity"": 1, ""unit"": ""viên"", ""notes"": ""Cỡ trung (khoảng 100-125g)""}, {""name"": ""Cà chua bi (Cherry tomato)"", ""quantity"": 100, ""unit"": ""g"", ""notes"": ""Cắt đôi""}]}, {""category"": ""Gia vị nêm nếm"", ""items"": [{""name"": ""Sốt Pesto húng quế"", ""quantity"": 30, ""unit"": ""g"", ""notes"": ""Rưới xung quanh""}, {""name"": ""Dấm Balsamic đun đặc"", ""quantity"": 10, ""unit"": ""ml"", ""notes"": """"}, {""name"": ""Dầu oliu Extra Virgin"", ""quantity"": 15, ""unit"": ""ml"", ""notes"": """"}, {""name"": ""Muối tiêu"", ""quantity"": null, ""unit"": ""tùy khẩu vị"", ""notes"": """"}]}]",139000,Phô mai Burrata với cà chua bi và pesto,,True,2026-08-22T15:26:23.074817+07:00,2026-08-22T15:26:23.074817+07:00
Spicy Tuna Tartare,appetizer,0.0,"[{""category"": ""Nguyên liệu chính"", ""items"": [{""name"": ""Cá ngừ vây vàng (Saku)"", ""quantity"": 100, ""unit"": ""g"", ""notes"": ""Cắt hạt lựu nhỏ""}, {""name"": ""Quả bơ"", ""quantity"": 50, ""unit"": ""g"", ""notes"": ""Cắt hạt lựu""}]}, {""category"": ""Gia vị"", ""items"": [{""name"": ""Sốt Mayo cay (Sriracha Mayo)"", ""quantity"": 20, ""unit"": ""g"", ""notes"": ""Trộn với cá ngừ""}, {""name"": ""Hành lá"", ""quantity"": 5, ""unit"": ""g"", ""notes"": ""Thái nhỏ""}, {""name"": ""Dầu mè"", ""quantity"": 5, ""unit"": ""ml"", ""notes"": """"}]}, {""category"": ""Ăn kèm"", ""items"": [{""name"": ""Bánh mì Baguette (Crostini)"", ""quantity"": 4, ""unit"": ""lát"", ""notes"": ""Nướng giòn, phết tỏi""}]}]",139000,Cá ngừ cay trên bánh crostini,,True,2026-08-22T15:26:23.074817+07:00,2026-08-22T15:26:23.074817+07:00
Grilled Octopus,appetizer,0.0,"[{""category"": ""Hải sản"", ""items"": [{""name"": ""Vòi bạch tuộc lớn"", ""quantity"": 150, ""unit"": ""g"", ""notes"": ""Luộc chậm (sous-vide) sau đó nướng xém""}]}, {""category"": ""Gia vị"", ""items"": [{""name"": ""Bột ớt Smoked Paprika"", ""quantity"": 5, ""unit"": ""g"", ""notes"": ""Tạo màu và hương khói""}, {""name"": ""Tỏi băm"", ""quantity"": 5, ""unit"": ""g"", ""notes"": """"}, {""name"": ""Dầu oliu"", ""quantity"": 15, ""unit"": ""ml"", ""notes"": """"}]}, {""category"": ""Ăn kèm"", ""items"": [{""name"": ""Khoai tây nghiền/nướng"", ""quantity"": 100, ""unit"": ""g"", ""notes"": ""Làm nền""}, {""name"": ""Chanh vàng"", ""quantity"": 1, ""unit"": ""lát"", ""notes"": """"}]}]",159000,Bạch tuộc nướng sốt ớt smoked paprika,,True,2026-08-22T15:26:23.074817+07:00,2026-08-22T15:26:23.074817+07:00
Black Pepper Steak,main_course,0.0,"[{""category"": ""Thịt"", ""items"": [{""name"": ""Thăn lưng bò Úc (Striploin)"", ""quantity"": 250, ""unit"": ""g"", ""notes"": ""Áp chảo độ chín tùy chọn (Medium Rare khuyến nghị)""}]}, {""category"": ""Gia vị & Sốt"", ""items"": [{""name"": ""Sốt tiêu đen đậm đặc"", ""quantity"": 50, ""unit"": ""ml"", ""notes"": ""Nấu từ nước dùng bò và tiêu sọ""}, {""name"": ""Muối tiêu, lá hương thảo"", ""quantity"": null, ""unit"": ""tùy chỉnh"", ""notes"": ""Dùng khi áp chảo""}]}, {""category"": ""Ăn kèm"", ""items"": [{""name"": ""Khoai tây nghiền (Mashed potato)"", ""quantity"": 120, ""unit"": ""g"", ""notes"": ""Béo mịn""}, {""name"": ""Măng tây nướng"", ""quantity"": 50, ""unit"": ""g"", ""notes"": """"}]}]",299000,"Bò Úc áp chảo sốt tiêu đen, khoai nghiền",,True,2026-08-22T15:26:23.074817+07:00,2026-08-22T15:26:23.074817+07:00
Miso Salmon,main_course,0.0,"[{""category"": ""Hải sản"", ""items"": [{""name"": ""Cá hồi phi lê"", ""quantity"": 180, ""unit"": ""g"", ""notes"": ""Giữ da, áp chảo giòn da""}]}, {""category"": ""Gia vị"", ""items"": [{""name"": ""Tương Miso"", ""quantity"": 20, ""unit"": ""g"", ""notes"": ""Làm sốt ướp/rưới""}, {""name"": ""Mirin & Sake"", ""quantity"": 15, ""unit"": ""ml"", ""notes"": ""Trộn cùng Miso""}]}, {""category"": ""Ăn kèm"", ""items"": [{""name"": ""Rau củ nướng (Cà rốt, bí ngòi)"", ""quantity"": 100, ""unit"": ""g"", ""notes"": ""Cắt khúc nướng""}, {""name"": ""Chanh vàng"", ""quantity"": 1, ""unit"": ""miếng"", ""notes"": """"}]}]",259000,"Cá hồi áp chảo sốt miso, rau củ nướng",,True,2026-08-22T15:26:23.074817+07:00,2026-08-22T15:26:23.074817+07:00
Creamy Truffle Pasta,main_course,0.0,"[{""category"": ""Nguyên liệu chính"", ""items"": [{""name"": ""Mì Ý (Spaghetti / Fettuccine)"", ""quantity"": 120, ""unit"": ""g"", ""notes"": ""Luộc Al dente""}, {""name"": ""Thịt xông khói (Bacon/Pancetta)"", ""quantity"": 40, ""unit"": ""g"", ""notes"": ""Cắt nhỏ, xào áp chảo""}]}, {""category"": ""Nước sốt"", ""items"": [{""name"": ""Whipping Cream"", ""quantity"": 80, ""unit"": ""ml"", ""notes"": """"}, {""name"": ""Sốt nấm Truffle đen"", ""quantity"": 15, ""unit"": ""g"", ""notes"": """"}, {""name"": ""Nước luộc mì"", ""quantity"": 30, ""unit"": ""ml"", ""notes"": ""Giúp sốt sánh""}, {""name"": ""Phô mai Parmesan"", ""quantity"": 20, ""unit"": ""g"", ""notes"": ""Tạo độ sệt""}]}]",189000,"Mì Ý sốt kem nấm Truffle, thịt xông khói",,True,2026-08-22T15:26:23.074817+07:00,2026-08-22T15:26:23.074817+07:00
Seafood Tom Yum Pasta,main_course,0.0,"[{""category"": ""Nguyên liệu chính"", ""items"": [{""name"": ""Mì Ý (Spaghetti)"", ""quantity"": 120, ""unit"": ""g"", ""notes"": ""Luộc Al dente""}, {""name"": ""Tôm sú"", ""quantity"": 3, ""unit"": ""con"", ""notes"": ""Bóc vỏ chừa đuôi""}, {""name"": ""Mực ống"", ""quantity"": 50, ""unit"": ""g"", ""notes"": ""Cắt khoanh""}, {""name"": ""Vẹm xanh"", ""quantity"": 2, ""unit"": ""con"", ""notes"": ""Rửa sạch""}]}, {""category"": ""Nước sốt"", ""items"": [{""name"": ""Sốt gia vị Tom Yum"", ""quantity"": 30, ""unit"": ""g"", ""notes"": """"}, {""name"": ""Nước cốt dừa"", ""quantity"": 40, ""unit"": ""ml"", ""notes"": ""Tạo độ béo""}, {""name"": ""Sả, lá chanh Thái, ớt"", ""quantity"": 10, ""unit"": ""g"", ""notes"": ""Tạo mùi""}]}]",209000,Mì Ý hải sản sốt Tom Yum,,True,2026-08-22T15:26:23.074817+07:00,2026-08-22T15:26:23.074817+07:00
